record_type	key	value	sha256	detail
runner-command	C0183	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-radial-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S12-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0184	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83).transparentize(20%), 0%), (rgb(42, 157, 143).transparentize(60%), 1.0989010989011%), (rgb(233, 196, 106).transparentize(35%), 4.3956043956044%), (rgb(244, 162, 97).transparentize(80%), 9.89010989010989%), (rgb(38, 70, 83).transparentize(20%), 12.0879120879121%), (rgb(42, 157, 143).transparentize(60%), 16.4835164835165%), (rgb(233, 196, 106).transparentize(35%), 17.5824175824176%), (rgb(244, 162, 97).transparentize(80%), 20.8791208791209%), (rgb(38, 70, 83).transparentize(20%), 26.3736263736264%), (rgb(42, 157, 143).transparentize(60%), 28.5714285714286%), (rgb(233, 196, 106).transparentize(35%), 32.967032967033%), (rgb(244, 162, 97).transparentize(80%), 34.0659340659341%), (rgb(38, 70, 83).transparentize(20%), 37.3626373626374%), (rgb(42, 157, 143).transparentize(60%), 42.8571428571429%), (rgb(233, 196, 106).transparentize(35%), 45.0549450549451%), (rgb(244, 162, 97).transparentize(80%), 49.4505494505495%), (rgb(38, 70, 83).transparentize(20%), 50.5494505494505%), (rgb(42, 157, 143).transparentize(60%), 53.8461538461538%), (rgb(233, 196, 106).transparentize(35%), 59.3406593406593%), (rgb(244, 162, 97).transparentize(80%), 61.5384615384615%), (rgb(38, 70, 83).transparentize(20%), 65.9340659340659%), (rgb(42, 157, 143).transparentize(60%), 67.032967032967%), (rgb(233, 196, 106).transparentize(35%), 70.3296703296703%), (rgb(244, 162, 97).transparentize(80%), 75.8241758241758%), (rgb(38, 70, 83).transparentize(20%), 78.021978021978%), (rgb(42, 157, 143).transparentize(60%), 82.4175824175824%), (rgb(233, 196, 106).transparentize(35%), 83.5164835164835%), (rgb(244, 162, 97).transparentize(80%), 86.8131868131868%), (rgb(38, 70, 83).transparentize(20%), 92.3076923076923%), (rgb(42, 157, 143).transparentize(60%), 94.5054945054945%), (rgb(233, 196, 106).transparentize(35%), 98.9010989010989%), (rgb(244, 162, 97).transparentize(80%), 100%), space: color.oklab, center: (50%, 50%), radius: 65%, focal-center: (30%, 40%), focal-radius: 10%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	5fc49a501d909729558ec8e1a52a52a87bcf94990b6d2857706460b5ba78b149	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0185	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83).transparentize(20%), 0%), (rgb(42, 157, 143).transparentize(60%), 1.0989010989011%), (rgb(233, 196, 106).transparentize(35%), 4.3956043956044%), (rgb(244, 162, 97).transparentize(80%), 9.89010989010989%), (rgb(38, 70, 83).transparentize(20%), 12.0879120879121%), (rgb(42, 157, 143).transparentize(60%), 16.4835164835165%), (rgb(233, 196, 106).transparentize(35%), 17.5824175824176%), (rgb(244, 162, 97).transparentize(80%), 20.8791208791209%), (rgb(38, 70, 83).transparentize(20%), 26.3736263736264%), (rgb(42, 157, 143).transparentize(60%), 28.5714285714286%), (rgb(233, 196, 106).transparentize(35%), 32.967032967033%), (rgb(244, 162, 97).transparentize(80%), 34.0659340659341%), (rgb(38, 70, 83).transparentize(20%), 37.3626373626374%), (rgb(42, 157, 143).transparentize(60%), 42.8571428571429%), (rgb(233, 196, 106).transparentize(35%), 45.0549450549451%), (rgb(244, 162, 97).transparentize(80%), 49.4505494505495%), (rgb(38, 70, 83).transparentize(20%), 50.5494505494505%), (rgb(42, 157, 143).transparentize(60%), 53.8461538461538%), (rgb(233, 196, 106).transparentize(35%), 59.3406593406593%), (rgb(244, 162, 97).transparentize(80%), 61.5384615384615%), (rgb(38, 70, 83).transparentize(20%), 65.9340659340659%), (rgb(42, 157, 143).transparentize(60%), 67.032967032967%), (rgb(233, 196, 106).transparentize(35%), 70.3296703296703%), (rgb(244, 162, 97).transparentize(80%), 75.8241758241758%), (rgb(38, 70, 83).transparentize(20%), 78.021978021978%), (rgb(42, 157, 143).transparentize(60%), 82.4175824175824%), (rgb(233, 196, 106).transparentize(35%), 83.5164835164835%), (rgb(244, 162, 97).transparentize(80%), 86.8131868131868%), (rgb(38, 70, 83).transparentize(20%), 92.3076923076923%), (rgb(42, 157, 143).transparentize(60%), 94.5054945054945%), (rgb(233, 196, 106).transparentize(35%), 98.9010989010989%), (rgb(244, 162, 97).transparentize(80%), 100%), space: color.oklab, center: (50%, 50%), radius: 65%, focal-center: (30%, 40%), focal-radius: 10%); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	77599367b01207815a15a629973e5a3585d2154205844b2080c1a95eeb5651cc	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0186	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S12-radial-oklab.png /tmp/p1268/oracle_v3/masks/S12-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0187	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-linear-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S12-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0188	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((rgb(38, 70, 83).transparentize(20%), 0%), (rgb(42, 157, 143).transparentize(60%), 1.0989010989011%), (rgb(233, 196, 106).transparentize(35%), 4.3956043956044%), (rgb(244, 162, 97).transparentize(80%), 9.89010989010989%), (rgb(38, 70, 83).transparentize(20%), 12.0879120879121%), (rgb(42, 157, 143).transparentize(60%), 16.4835164835165%), (rgb(233, 196, 106).transparentize(35%), 17.5824175824176%), (rgb(244, 162, 97).transparentize(80%), 20.8791208791209%), (rgb(38, 70, 83).transparentize(20%), 26.3736263736264%), (rgb(42, 157, 143).transparentize(60%), 28.5714285714286%), (rgb(233, 196, 106).transparentize(35%), 32.967032967033%), (rgb(244, 162, 97).transparentize(80%), 34.0659340659341%), (rgb(38, 70, 83).transparentize(20%), 37.3626373626374%), (rgb(42, 157, 143).transparentize(60%), 42.8571428571429%), (rgb(233, 196, 106).transparentize(35%), 45.0549450549451%), (rgb(244, 162, 97).transparentize(80%), 49.4505494505495%), (rgb(38, 70, 83).transparentize(20%), 50.5494505494505%), (rgb(42, 157, 143).transparentize(60%), 53.8461538461538%), (rgb(233, 196, 106).transparentize(35%), 59.3406593406593%), (rgb(244, 162, 97).transparentize(80%), 61.5384615384615%), (rgb(38, 70, 83).transparentize(20%), 65.9340659340659%), (rgb(42, 157, 143).transparentize(60%), 67.032967032967%), (rgb(233, 196, 106).transparentize(35%), 70.3296703296703%), (rgb(244, 162, 97).transparentize(80%), 75.8241758241758%), (rgb(38, 70, 83).transparentize(20%), 78.021978021978%), (rgb(42, 157, 143).transparentize(60%), 82.4175824175824%), (rgb(233, 196, 106).transparentize(35%), 83.5164835164835%), (rgb(244, 162, 97).transparentize(80%), 86.8131868131868%), (rgb(38, 70, 83).transparentize(20%), 92.3076923076923%), (rgb(42, 157, 143).transparentize(60%), 94.5054945054945%), (rgb(233, 196, 106).transparentize(35%), 98.9010989010989%), (rgb(244, 162, 97).transparentize(80%), 100%), space: color.linear-rgb, angle: 720.5deg); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	4322fcaae6e6b4ef8f0b7eb9a2a613c1e010b7bcd6b73d07c3d2547cfe294658	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0189	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((rgb(38, 70, 83).transparentize(20%), 0%), (rgb(42, 157, 143).transparentize(60%), 1.0989010989011%), (rgb(233, 196, 106).transparentize(35%), 4.3956043956044%), (rgb(244, 162, 97).transparentize(80%), 9.89010989010989%), (rgb(38, 70, 83).transparentize(20%), 12.0879120879121%), (rgb(42, 157, 143).transparentize(60%), 16.4835164835165%), (rgb(233, 196, 106).transparentize(35%), 17.5824175824176%), (rgb(244, 162, 97).transparentize(80%), 20.8791208791209%), (rgb(38, 70, 83).transparentize(20%), 26.3736263736264%), (rgb(42, 157, 143).transparentize(60%), 28.5714285714286%), (rgb(233, 196, 106).transparentize(35%), 32.967032967033%), (rgb(244, 162, 97).transparentize(80%), 34.0659340659341%), (rgb(38, 70, 83).transparentize(20%), 37.3626373626374%), (rgb(42, 157, 143).transparentize(60%), 42.8571428571429%), (rgb(233, 196, 106).transparentize(35%), 45.0549450549451%), (rgb(244, 162, 97).transparentize(80%), 49.4505494505495%), (rgb(38, 70, 83).transparentize(20%), 50.5494505494505%), (rgb(42, 157, 143).transparentize(60%), 53.8461538461538%), (rgb(233, 196, 106).transparentize(35%), 59.3406593406593%), (rgb(244, 162, 97).transparentize(80%), 61.5384615384615%), (rgb(38, 70, 83).transparentize(20%), 65.9340659340659%), (rgb(42, 157, 143).transparentize(60%), 67.032967032967%), (rgb(233, 196, 106).transparentize(35%), 70.3296703296703%), (rgb(244, 162, 97).transparentize(80%), 75.8241758241758%), (rgb(38, 70, 83).transparentize(20%), 78.021978021978%), (rgb(42, 157, 143).transparentize(60%), 82.4175824175824%), (rgb(233, 196, 106).transparentize(35%), 83.5164835164835%), (rgb(244, 162, 97).transparentize(80%), 86.8131868131868%), (rgb(38, 70, 83).transparentize(20%), 92.3076923076923%), (rgb(42, 157, 143).transparentize(60%), 94.5054945054945%), (rgb(233, 196, 106).transparentize(35%), 98.9010989010989%), (rgb(244, 162, 97).transparentize(80%), 100%), space: color.linear-rgb, angle: 720.5deg); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	2d718e21cfe3fa14af4baccf9c0d23718faeb0649241de8643469e7b71303a49	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0190	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S12-linear-linear-rgb.png /tmp/p1268/oracle_v3/masks/S12-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0191	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-radial-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S12-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0192	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83).transparentize(20%), 0%), (rgb(42, 157, 143).transparentize(60%), 1.0989010989011%), (rgb(233, 196, 106).transparentize(35%), 4.3956043956044%), (rgb(244, 162, 97).transparentize(80%), 9.89010989010989%), (rgb(38, 70, 83).transparentize(20%), 12.0879120879121%), (rgb(42, 157, 143).transparentize(60%), 16.4835164835165%), (rgb(233, 196, 106).transparentize(35%), 17.5824175824176%), (rgb(244, 162, 97).transparentize(80%), 20.8791208791209%), (rgb(38, 70, 83).transparentize(20%), 26.3736263736264%), (rgb(42, 157, 143).transparentize(60%), 28.5714285714286%), (rgb(233, 196, 106).transparentize(35%), 32.967032967033%), (rgb(244, 162, 97).transparentize(80%), 34.0659340659341%), (rgb(38, 70, 83).transparentize(20%), 37.3626373626374%), (rgb(42, 157, 143).transparentize(60%), 42.8571428571429%), (rgb(233, 196, 106).transparentize(35%), 45.0549450549451%), (rgb(244, 162, 97).transparentize(80%), 49.4505494505495%), (rgb(38, 70, 83).transparentize(20%), 50.5494505494505%), (rgb(42, 157, 143).transparentize(60%), 53.8461538461538%), (rgb(233, 196, 106).transparentize(35%), 59.3406593406593%), (rgb(244, 162, 97).transparentize(80%), 61.5384615384615%), (rgb(38, 70, 83).transparentize(20%), 65.9340659340659%), (rgb(42, 157, 143).transparentize(60%), 67.032967032967%), (rgb(233, 196, 106).transparentize(35%), 70.3296703296703%), (rgb(244, 162, 97).transparentize(80%), 75.8241758241758%), (rgb(38, 70, 83).transparentize(20%), 78.021978021978%), (rgb(42, 157, 143).transparentize(60%), 82.4175824175824%), (rgb(233, 196, 106).transparentize(35%), 83.5164835164835%), (rgb(244, 162, 97).transparentize(80%), 86.8131868131868%), (rgb(38, 70, 83).transparentize(20%), 92.3076923076923%), (rgb(42, 157, 143).transparentize(60%), 94.5054945054945%), (rgb(233, 196, 106).transparentize(35%), 98.9010989010989%), (rgb(244, 162, 97).transparentize(80%), 100%), space: color.linear-rgb, center: (50%, 50%), radius: 65%, focal-center: (30%, 40%), focal-radius: 10%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	0b56f9bf5da90a19ed45a9346386a7ebd591b0483481484734b42a4113018625	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0193	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83).transparentize(20%), 0%), (rgb(42, 157, 143).transparentize(60%), 1.0989010989011%), (rgb(233, 196, 106).transparentize(35%), 4.3956043956044%), (rgb(244, 162, 97).transparentize(80%), 9.89010989010989%), (rgb(38, 70, 83).transparentize(20%), 12.0879120879121%), (rgb(42, 157, 143).transparentize(60%), 16.4835164835165%), (rgb(233, 196, 106).transparentize(35%), 17.5824175824176%), (rgb(244, 162, 97).transparentize(80%), 20.8791208791209%), (rgb(38, 70, 83).transparentize(20%), 26.3736263736264%), (rgb(42, 157, 143).transparentize(60%), 28.5714285714286%), (rgb(233, 196, 106).transparentize(35%), 32.967032967033%), (rgb(244, 162, 97).transparentize(80%), 34.0659340659341%), (rgb(38, 70, 83).transparentize(20%), 37.3626373626374%), (rgb(42, 157, 143).transparentize(60%), 42.8571428571429%), (rgb(233, 196, 106).transparentize(35%), 45.0549450549451%), (rgb(244, 162, 97).transparentize(80%), 49.4505494505495%), (rgb(38, 70, 83).transparentize(20%), 50.5494505494505%), (rgb(42, 157, 143).transparentize(60%), 53.8461538461538%), (rgb(233, 196, 106).transparentize(35%), 59.3406593406593%), (rgb(244, 162, 97).transparentize(80%), 61.5384615384615%), (rgb(38, 70, 83).transparentize(20%), 65.9340659340659%), (rgb(42, 157, 143).transparentize(60%), 67.032967032967%), (rgb(233, 196, 106).transparentize(35%), 70.3296703296703%), (rgb(244, 162, 97).transparentize(80%), 75.8241758241758%), (rgb(38, 70, 83).transparentize(20%), 78.021978021978%), (rgb(42, 157, 143).transparentize(60%), 82.4175824175824%), (rgb(233, 196, 106).transparentize(35%), 83.5164835164835%), (rgb(244, 162, 97).transparentize(80%), 86.8131868131868%), (rgb(38, 70, 83).transparentize(20%), 92.3076923076923%), (rgb(42, 157, 143).transparentize(60%), 94.5054945054945%), (rgb(233, 196, 106).transparentize(35%), 98.9010989010989%), (rgb(244, 162, 97).transparentize(80%), 100%), space: color.linear-rgb, center: (50%, 50%), radius: 65%, focal-center: (30%, 40%), focal-radius: 10%); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	2d718e21cfe3fa14af4baccf9c0d23718faeb0649241de8643469e7b71303a49	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0194	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S12-radial-linear-rgb.png /tmp/p1268/oracle_v3/masks/S12-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0195	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-linear-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S13-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0196	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.linear((black, 0%), (white, 100%), space: color.oklab, angle: 0deg)).sharp(2); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	b281b6c22ac48c12a1ddb9801bf6e133acc95c80e2062212d57079243e49529c	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0197	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.linear((black, 0%), (white, 100%), space: color.oklab, angle: 0deg)).sharp(2); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (50%,50.00004768371582%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	96021d7d02224bec7e7b9b5eb47a2fba05a6dbce230ab0d5b7e00b4cbd56b0e8	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0198	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S13-linear-oklab.png /tmp/p1268/oracle_v3/masks/S13-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0199	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-radial-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S13-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0200	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.radial((black, 0%), (white, 100%), space: color.oklab, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%)).sharp(2); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	12fb87046129a1c8efb588a28be0cd285896dffd3fb0f35ad2d15c5b22dc1b12	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0201	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.radial((black, 0%), (white, 100%), space: color.oklab, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%)).sharp(2); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (50%,50.00004768371582%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	96021d7d02224bec7e7b9b5eb47a2fba05a6dbce230ab0d5b7e00b4cbd56b0e8	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0202	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S13-radial-oklab.png /tmp/p1268/oracle_v3/masks/S13-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0203	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-linear-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S13-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0204	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.linear((black, 0%), (white, 100%), space: color.linear-rgb, angle: 0deg)).sharp(2); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	4eedf0f8f9759ab7ec6ed78c913d5d743fabd8b610cd13acc243e659ac4faef7	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0205	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.linear((black, 0%), (white, 100%), space: color.linear-rgb, angle: 0deg)).sharp(2); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (50%,50.00004768371582%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	36426022232fcbecff1351f05ce4f023e7f1c73a7b76af857583bbfe61b83b73	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0206	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S13-linear-linear-rgb.png /tmp/p1268/oracle_v3/masks/S13-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0207	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-radial-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S13-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0208	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.radial((black, 0%), (white, 100%), space: color.linear-rgb, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%)).sharp(2); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	18c6a8acc25939e23f66fb63eb58a292241b28ff299c1b9e27f7aeae33adb633	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0209	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = (gradient.radial((black, 0%), (white, 100%), space: color.linear-rgb, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%)).sharp(2); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (50%,50.00004768371582%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	36426022232fcbecff1351f05ce4f023e7f1c73a7b76af857583bbfe61b83b73	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0210	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S13-radial-linear-rgb.png /tmp/p1268/oracle_v3/masks/S13-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0211	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S14-linear-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S14-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
